Date,Name,Year,Letterboxd URI,Rating
2019-03-08,Jaws,1975,https://boxd.it/2a5e,4
2019-03-10,The Departed,2006,https://boxd.it/28MA,4.5
2019-03-11,Shutter Island,2010,https://boxd.it/1U82,4
2019-03-12,The Martian,2015,https://boxd.it/8SeG,4
2019-03-12,The Cabin in the Woods,2011,https://boxd.it/1zOc,3.5
2019-03-12,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,3.5
2019-03-13,Captain Marvel,2019,https://boxd.it/9vSA,3
2019-03-17,Moneyball,2011,https://boxd.it/glS,4
2019-03-18,Hot Fuzz,2007,https://boxd.it/2416,4
2019-03-18,Upgrade,2018,https://boxd.it/i4gW,2.5
2019-03-18,Europa Report,2013,https://boxd.it/5n0s,1.5
2019-03-18,Baby Driver,2017,https://boxd.it/bhF2,4.5
2019-03-23,Iron Man,2008,https://boxd.it/28dA,4
2019-03-23,Thor,2011,https://boxd.it/1WQU,3.5
2019-03-24,The Avengers,2012,https://boxd.it/1xFW,4
2019-03-25,Iron Man 3,2013,https://boxd.it/2cBQ,3.5
2019-03-25,Captain America: The Winter Soldier,2014,https://boxd.it/3r58,4
2019-03-26,Avengers: Age of Ultron,2015,https://boxd.it/3qi6,4
2019-03-26,Thor: The Dark World,2013,https://boxd.it/2DqA,2.5
2019-03-27,Ant-Man,2015,https://boxd.it/3vmW,3
2019-04-01,Spider-Man: Homecoming,2017,https://boxd.it/aboM,3.5
2019-04-15,Shazam!,2019,https://boxd.it/8WBu,3
2019-04-21,Aquaman,2018,https://boxd.it/9ru0,2
2019-04-22,Iron Man 2,2010,https://boxd.it/1WZM,2.5
2019-04-22,Inception,2010,https://boxd.it/1skk,5
2019-04-22,GoodFellas,1990,https://boxd.it/29FA,5
2019-04-23,Gran Torino,2008,https://boxd.it/1Qzy,2.5
2019-04-23,Captain America: Civil War,2016,https://boxd.it/89Ja,4
2019-04-23,Taxi Driver,1976,https://boxd.it/2b8y,4.5
2019-04-26,Avengers: Endgame,2019,https://boxd.it/9vE4,5
2019-05-02,Life,2017,https://boxd.it/dRqG,1.5
2019-05-03,Infinity Chamber,2016,https://boxd.it/fceo,2.5
2019-05-06,Sunshine,2007,https://boxd.it/28Xy,3
2019-05-08,Apollo 13,1995,https://boxd.it/2a6G,3.5
2019-05-09,Triangle,2009,https://boxd.it/1tQG,4
2019-05-11,Coherence,2013,https://boxd.it/6xza,4
2019-05-11,Pacific Rim,2013,https://boxd.it/2cB2,2
2019-05-12,Predestination,2014,https://boxd.it/6bJM,3
2019-05-12,Primer,2004,https://boxd.it/6YA,4
2019-05-13,Green Book,2018,https://boxd.it/hErk,3.5
2019-05-14,Prospect,2018,https://boxd.it/iijg,3.5
2019-05-17,Signs,2002,https://boxd.it/26t2,2
2019-05-22,Minority Report,2002,https://boxd.it/2aWi,3
2019-05-25,Children of Men,2006,https://boxd.it/1Y2i,5
2019-05-27,Split,2016,https://boxd.it/dgSy,1.5
2019-05-28,Oblivion,2013,https://boxd.it/2Bzq,1.5
2019-05-29,Nightcrawler,2014,https://boxd.it/780m,4
2019-05-29,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,3
2019-05-30,The Man from Earth,2007,https://boxd.it/1Ql2,2
2019-06-06,Incredibles 2,2018,https://boxd.it/7IPg,2.5
2019-06-12,The Wolf of Wall Street,2013,https://boxd.it/3C1m,4
2019-06-17,Room,2015,https://boxd.it/7T0y,4.5
2019-06-18,It Follows,2014,https://boxd.it/87wo,3.5
2019-07-08,Spider-Man: Far From Home,2019,https://boxd.it/fegG,3.5
2019-07-10,Mr. Nobody,2009,https://boxd.it/1k44,3.5
2019-07-14,Casino,1995,https://boxd.it/2ads,3.5
2019-07-20,Rocketman,2019,https://boxd.it/iehK,4
2019-07-22,Yesterday,2019,https://boxd.it/iF7M,3
2019-07-26,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,4
2019-08-14,The Endless,2017,https://boxd.it/ffyw,3.5
2019-08-21,The Blair Witch Project,1999,https://boxd.it/26ua,2.5
2019-08-22,The Shining,1980,https://boxd.it/29Nu,4
2019-08-22,The Sixth Sense,1999,https://boxd.it/29Js,4
2019-08-23,Fight Club,1999,https://boxd.it/2a9q,4.5
2019-08-24,John Wick: Chapter 2,2017,https://boxd.it/ayGu,3
2019-08-24,22 Jump Street,2014,https://boxd.it/5Fvy,3
2019-08-24,Sorry to Bother You,2018,https://boxd.it/f21E,3
2019-09-21,Ad Astra,2019,https://boxd.it/ePzI,3.5
2019-10-14,Her,2013,https://boxd.it/4O24,4
2019-10-15,About Time,2013,https://boxd.it/43bI,5
2019-10-16,Contact,1997,https://boxd.it/29OM,3.5
2019-10-23,Independence Day,1996,https://boxd.it/2a1w,3
2019-10-24,Terminator 2: Judgment Day,1991,https://boxd.it/2aGY,4
2019-11-01,It,2017,https://boxd.it/bC8e,3.5
2019-11-13,Doctor Sleep,2019,https://boxd.it/i5vI,3.5
2019-11-17,Joker,2019,https://boxd.it/h4cS,3
2019-11-21,The Lighthouse,2019,https://boxd.it/icFU,3
